위치좌표 X축값 ,위치좌표 Y축값 ,구분,장소명
126.495979,33.486592,관광/숙박,코리아나호텔
126.448871,33.465586,문화/종교/예술,해성사
126.385364,33.470809,관광/숙박,수산유원지
126.771241,33.529109,관광/숙박,만장굴
126.910056,33.441262,문화/종교/예술,남안사
126.941753,33.458386,관광/숙박,성산일출봉
126.394439,33.408524,관광/숙박,제주경마공원
126.563061,33.474037,문화/종교/예술,죽림정사
126.568685,33.480903,문화/종교/예술,화엄사
126.570935,33.472329,문화/종교/예술,은해사
126.571085,33.474003,문화/종교/예술,삼광사
126.5415,33.461379,문화/종교/예술,덕흥사
126.580609,33.455914,문화/종교/예술,통영사
126.56786,33.487752,문화/종교/예술,영천암
126.56971,33.488485,문화/종교/예술,한마음선원
126.568472,33.487002,문화/종교/예술,연화사
126.538375,33.486843,문화/종교/예술,평강감리교회
126.575201,33.316971,문화/종교/예술,남국선원
126.610398,33.301115,문화/종교/예술,향림교회
126.529568,33.275016,문화/종교/예술,영산사
126.459648,33.312044,관광/숙박,국립서귀포자연휴양림
126.39473,33.273239,관광/숙박,서귀포호텔
126.445138,33.265866,문화/종교/예술,회수교회
126.321849,33.252499,관광/숙박,제주조각공원
126.289463,33.305817,문화/종교/예술,오설록티뮤지엄
126.53948,33.250952,문화/종교/예술,봉림사
126.547292,33.239179,관광/숙박,외돌개
126.414441,33.252417,공원/산/동.식물원,제주여미지식물원
126.23067,33.240324,문화/종교/예술,대원사
126.84239,33.324083,문화/종교/예술,제주민속촌박물관
126.257018,33.222826,관광/숙박,실버스타호텔
126.308401,33.229885,관광/숙박,하동민박
126.31255,33.236925,관광/숙박,산방굴사
126.335598,33.241884,관광/숙박,둥지민박
126.337773,33.240317,관광/숙박,소라민박
126.333311,33.240267,레져/스포츠,화순금모래해변
126.302801,33.249282,관광/숙박,산야별장
126.255053,33.325573,공원/산/동.식물원,생각하는정원
126.315636,33.280521,관광/숙박,청산해림
126.453287,33.286064,레져/스포츠,트레블러스호텔승마장
126.444175,33.286172,관광/숙박,제주WE호텔
126.394655,33.277406,레져/스포츠,대유수렵장
126.410104,33.261899,관광/숙박,칠십리민박
126.393129,33.314993,레져/스포츠,핀크스골프클럽(퍼블릭)
126.390831,33.244809,관광/숙박,아리랑펜션
126.396443,33.250959,관광/숙박,피카츄민박
126.408092,33.249909,관광/숙박,제주하나호텔
126.410641,33.248517,관광/숙박,롯데호텔제주
126.406067,33.244559,관광/숙박,하얏트리젠시제주
126.405742,33.245084,레져/스포츠,하얏트리젠시제주수영장
126.419941,33.243051,관광/숙박,씨에스호텔앤리조트
126.406742,33.250792,레져/스포츠,중문CC
126.414491,33.244726,레져/스포츠,중문색달해변
126.412904,33.247484,관광/숙박,제주한국콘도
126.489072,33.233612,레져/스포츠,제주풍림리조트
126.558915,33.308771,문화/종교/예술,한라산기도원
126.559215,33.308138,레져/스포츠,서귀포학생문화원야영수련장
126.546492,33.262651,문화/종교/예술,원불교서귀포교당
126.51462,33.25331,레져/스포츠,국토교통인재개발원
126.348732,33.34034,레져/스포츠,캐슬렉스제주CC
126.262038,33.412789,문화/종교/예술,한수풀문화센터
126.311695,33.463075,관광/숙박,제주토비스콘도
126.303784,33.450143,레져/스포츠,곽지과물해변
126.489079,33.490634,관광/숙박,제일장여관
126.526863,33.500625,관광/숙박,창원장여관
126.510403,33.446697,레져/스포츠,오라CC
126.529138,33.499183,관광/숙박,호텔뉴광양장
126.522126,33.5003,관광/숙박,신대화모텔
126.238928,33.393849,레져/스포츠,협재해수욕장
126.232704,33.387841,관광/숙박,일성제주콘도
126.199345,33.365026,관광/숙박,메가리조트제주
126.406024,33.484616,관광/숙박,드림하우스민박
126.431472,33.488091,문화/종교/예술,외도교회
126.433596,33.489708,레져/스포츠,제주유도회관
126.442546,33.461453,문화/종교/예술,광령교회
126.441584,33.456153,관광/숙박,노루물민박
126.489617,33.483026,관광/숙박,도일여관
126.489604,33.482776,관광/숙박,부영모텔
126.490417,33.483209,레져/스포츠,드림헬스타운
126.490917,33.483551,관광/숙박,제주펄호텔
126.491529,33.483009,관광/숙박,하와이관광호텔
126.495279,33.482526,관광/숙박,시티호텔
